data,cambio,selic,expec_cambio,ic_br_agro,cotacao_petroleo_fmi
2012-12-01,2.0778,7.25,2.0757894736842104,0.010246139137095156,0.0016163427555895282
2013-01-01,2.0311,7.25,2.05,-0.023460421582992552,0.03619846546604766
2013-02-01,1.9733,7.25,1.9994444444444446,-0.03759052943335206,0.023420623254780004
2013-03-01,1.9828,7.25,1.9865,-0.008814006092861426,-0.045715177109787675
2013-04-01,2.0022,7.25,1.9980952380952381,-0.013797598935596511,-0.03956247332252083
2013-05-01,2.0348,7.5,2.0090476190476187,0.005215846163621585,0.005872333852748213
2013-06-01,2.173,8.0,2.1149999999999998,0.05491279401233573,0.004163290464624936
2013-07-01,2.2522,8.0,2.2209090909090907,0.020586288011212872,0.05369278741112993
2013-08-01,2.3422,8.5,2.2972727272727274,0.025729919756993347,0.02663354517555927
2013-09-01,2.2705,9.0,2.336,-0.02493823955442931,0.005735541493740115
2013-10-01,2.1886,9.0,2.2686956521739132,-0.030607553427718592,-0.029187931354451635
2013-11-01,2.2954,9.5,2.2824999999999998,0.03147049034305471,-0.028734227889726682
2013-12-01,2.3455,10.0,2.3485,0.01879861681074324,0.028265544717172908
2014-01-01,2.3822,10.0,2.382727272727273,0.021425153955994425,-0.03283219823615635
2014-02-01,2.3837,10.5,2.4185,0.046607889097163735,0.02620972847987879
2014-03-01,2.3261,10.75,2.399473684210526,0.016924637002810883,-0.006440691009681032
2014-04-01,2.2328,10.75,2.338421052631579,-0.029725342383449593,0.007069605370818799
2014-05-01,2.2209,11.0,2.301904761904762,-0.021591824579116903,0.007474173970683395
2014-06-01,2.2355,11.0,2.2984210526315785,-0.013597242864532788,0.025758805418054642
2014-07-01,2.2246,11.0,2.2836363636363632,-0.02053718450950548,-0.02889588336560589
2014-08-01,2.268,11.0,2.299047619047619,-0.01995931964800768,-0.05203593513686755
2014-09-01,2.3329,11.0,2.322380952380952,0.02902250741057788,-0.04363368632030529
2014-10-01,2.4483,11.0,2.407391304347826,0.07138660979389133,-0.10685105267644257
2014-11-01,2.5484,11.25,2.52,0.03726265899836445,-0.11172534835322967
2014-12-01,2.6394,11.25,2.617142857142857,0.01655090045659513,-0.23937490447797583
2015-01-01,2.6342,11.75,2.6709090909090913,-0.03427400503020461,-0.24056353021964938
2015-02-01,2.8165,12.25,2.7644444444444445,0.036862444784307336,0.14340950037964273
2015-03-01,3.1395,12.25,3.0522727272727277,0.07680373476797353,-0.03959900564818897
2015-04-01,3.0432,12.75,3.163684210526316,-0.024114234511587007,0.0846662733575907
2015-05-01,3.0617,13.25,3.109,0.003730042790758503,0.08396648495442438
2015-06-01,3.1117,13.25,3.154,0.022206515687551054,-0.018895759916735422
2015-07-01,3.2231,13.75,3.1986363636363637,0.046305340382115645,-0.11630946443362156
2015-08-01,3.5143,14.25,3.438571428571429,0.0493875195321678,-0.16961428048809246
2015-09-01,3.9065,14.25,3.779,0.08372279471801569,0.002195121042170012
2015-10-01,3.8801,14.25,3.997142857142857,0.013132599340144324,0.01646215968450937
2015-11-01,3.7765,14.25,4.000500000000001,-0.03753638060778197,-0.08704268601058862
2015-12-01,3.8711,14.25,4.001904761904761,0.022309340288748203,-0.16094045637350618
2016-01-01,4.0524,14.25,4.077,0.03198096905993353,-0.18700655016852208
2016-02-01,3.9737,14.25,4.113333333333333,-0.02670566751696679,0.02728674533136566
2016-03-01,3.7039,14.25,3.9604545454545454,-0.06739608636854832,0.1873586587982956
2016-04-01,3.5658,14.25,3.614,-0.04357863849374244,0.08908706077845707
2016-05-01,3.5393,14.25,3.53,0.008805983768166215,0.11619967063767689
2016-06-01,3.4245,14.25,3.53,0.0001574844487368665,0.042682982206886155
2016-07-01,3.2756,14.25,3.2923809523809524,-0.06966422767036029,-0.07924190557016031
2016-08-01,3.2097,14.25,3.246521739130435,-0.025247102494989626,0.013596310564294
2016-09-01,3.2564,14.25,3.2590000000000003,0.009077913533119819,0.003530092276973207
2016-10-01,3.1858,14.25,3.2270000000000003,-0.01620238978616584,0.09629192191080849
2016-11-01,3.342,14.0,3.2775,0.05611800249285537,-0.09482847367953173
2016-12-01,3.3523,13.75,3.3881818181818186,-0.004903185869252091,0.1542601261384804
2017-01-01,3.1966,13.75,3.3122727272727275,-0.02188686552107022,0.016381066802249933
2017-02-01,3.1042,13.0,3.1894444444444447,-0.036503549957011217,0.012277018111458204
2017-03-01,3.1279,12.25,3.152173913043478,-0.024837529413492376,-0.06819996119383864
2017-04-01,3.1362,12.25,3.155,-0.007288969351386676,0.030039226466856306
2017-05-01,3.2095,11.25,3.1754545454545453,0.03726549629279763,-0.049645447575206614
2017-06-01,3.2954,10.25,3.2729999999999997,0.0009315324381118373,-0.07521770086636259
2017-07-01,3.2061,10.25,3.2715000000000005,-0.02194528427553255,0.03135140914156409
